DOI,year,PDF,node_id
10.1002/cpz1.725,2023,Wu et al. - 2023 - CRISPR‐Cas9 Genome Editing in the Moss Physcomitrium (Formerly Physcomitrella ) pat.pdf,0
10.1073/pnas.2408345121,2024,kumar-et-al-2024-characterization-of-rna-editing-and-gene-therapy-with-a-compact-crispr-cas13-in-the-retina.pdf,1
10.1016/j.scienta.2023.112236,2023,1-s2.0-S0304423823004077-main.pdf,2
10.1016/j.cell.2018.09.022,2018,Wroblewska et al. - 2018 - Protein Barcodes Enable High-Dimensional Single-Cell CRISPR Screens.pdf,3
10.1093/bioinformatics/btab268,2021,Li et al. - 2021 - CROTON an automated and variant-aware deep learning framework for predicting CRISPRCas9 editing ou.pdf,4
10.1111/tpj.16488,2023,Paril et al. - 2024 - Heterosis in crop improvement.pdf,5
10.1016/j.molcel.2024.05.024,2024,PIIS1097276524004477.pdf,6
10.1167/iovs.65.13.38,2024,iovs-65-13-38.pdf,7
10.1038/s41586-018-0461-z,2018,Findlay et al. - 2018 - Accurate classification of BRCA1 variants with saturation genome editing.pdf,8
10.1016/j.celrep.2019.05.103,2019,Chen et al. - 2019 - CRISPR-READI Efficient Generation of Knockin Mice by CRISPR RNP Electroporation and AAV Donor Infec.pdf,9
10.1038/s41477-024-01749-1,2024,s41477-024-01749-1.pdf,10
10.1038/nmeth.2812,2014,nmeth.2812.pdf,11
10.3390/ijms242317105,2023,Gunitseva et al. - 2023 - A New RNA-Dependent Cas12g Nuclease.pdf,12
10.1093/plphys/kiad678,2023,Zhou et al. - 2024 - Targeted A-to-G base editing in the organellar genomes of Arabidopsis with monomeric programmable de.pdf,13
10.1016/j.tig.2024.01.003,2024,PIIS0168952524000039.pdf,14
10.1038/s41467-021-26789-5,2021,Wang et al. - 2021 - A general theoretical framework to design base editors with reduced bystander effects.pdf,15
10.1126/science.1178811,2009,2009-Boch-TAL-typeIIIeffectors-SCIENCEpdf.pdf,16
10.1016/j.biotechadv.2024.108323,2024,1-s2.0-S073497502400017X-main.pdf,17
10.1016/j.tibtech.2023.06.005,2023,PIIS016777992300183X.pdf,18
10.3390/ph17121589,2024,Park and Kim - 2024 - CRISPRCas9 Technology Providing the Therapeutic Landscape of Metastatic Prostate Cancer.pdf,19
10.1016/j.scib.2023.04.013,2023,1-s2.0-S2095927323002530-main.pdf,20
10.1016/j.mrrev.2023.108466,2023,1-s2.0-S1383574223000145-main.pdf,21
10.1021/acs.analchem.3c05133,2024,"Sivakrishna Rao et al. - 2024 - Harnessing Peptide Nucleic Acids and the Eukaryotic Resolvase MOC1 for Programmable, Precise Generat.pdf",22
10.24075/brsmu.2018.052,2018,Kodyleva et al. - 2018 - The efficacy of CRISPR-Cas9-mediated induction of the CCR5delta32 mutation in the human embryo.pdf,23
10.1111/pbi.12596,2016,Collonnier et al. - 2017 - CRISPR ‐Cas9‐mediated efficient directed mutagenesis a.pdf,24
10.1007/s15010-020-01554-w,2021,Binnie et al. - 2021 - CRISPR-based strategies in infectious disease diagnosis and therapy.pdf,25
10.1002/advs.202404747,2024,Wang et al. - 2024 - A Mutation Losing an RBP‐Binding Site in the LncRNA NORSF Transcript Influences Granulosa Cell Apopt.pdf,26
10.1111/pbi.14258,2024,Gao et al. - 2024 - Revisiting growth–defence trade‐offs and breeding strategies in crops.pdf,27
10.1016/j.celrep.2016.01.019,2016,Gutschner et al. - 2016 - Post-translational Regulation of Cas9 during G1 Enhances Homology-Directed Repair.pdf,28
10.3389/fbioe.2023.1340377,2023,Bandyopadhyay et al. - 2023 - Editorial CRISPR-aided bioengineering for value-added product development.pdf,29
